Component Name,Module Code,Module Name,Table Name,Table Category,Table Category Notes,Dependency Tables Name,Dependency Tables Count,Cross-module Dependencies Names,Cross-module Dependencies Count,Complexity
HR ,A,Module A - Core HR,Marital Status,Lookup Table,Static values,No,0,No module ,0,Not complex
HR,A,Module A - Core HR,Forms,Lookup Table,Form templates,No,0,No module ,0,Not complex
HR,A,Module A - Core HR,Calendars,Reference Table	,Company holidays/workdays,No,0,No module ,0,Not complex
HR,A,Module A - Core HR,Bonuses Type,Lookup Table,Bonus categories,No,0,No module ,0,Not complex
HR,A,Module A - Core HR,Deduction Type,Lookup Table,Deduction categories,No,0,No module ,0,Not complex
HR,A,Module A - Core HR,Departments Types,Dimension Table,Organizational structure,No,0,No module ,0,Not complex
HR,A,Module A - Core HR,Hierarchy,Table with Hierarchy,Org chart relationships,No,0,No module ,0,Not complex
HR,A,Module A - Core HR,Sections,Table with Hierarchy,Sub-departments,"Departments Types, Hierarchy ",2,No module ,0,Normal complex
HR,A,Module A - Core HR,Employees,Master Data Table,Core employee records,"Departments Types, Sections, Marital Status, Salary Grades",4,No module ,0,Middle complex
HR,A,Module A - Core HR,HR Rules,Reference Table	,Business rules,No,0,No module ,0,Not complex
HR,A,Module A - Core HR,Approval Workflows,Reference Table	,Workflow definitions,No,0,No module ,0,Not complex
HR,A,Module A - Core HR,Company Policies,Reference Table	,Policy documents,No,0,No module ,0,Not complex
HR,A,Module A - Core HR,Employee Absence,Fact Table,Transactional absence records,"Employees, Time Logs, Leave Policies, Calendars, Approval Workflows",5,"Module C - Time & Attendance, Module A - Core HR",2,Deep complex
HR,B,Module B - Payroll,Earning Types,Lookup Table,Salary components,No,0,No module ,0,Not complex
HR,B,Module B - Payroll,Tax Rules,Reference Table	,Tax regulations,No,0,No module ,0,Not complex
HR,B,Module B - Payroll,Salary Grades,Lookup Table,Pay scales,No,0,No module ,0,Not complex
HR,B,Module B - Payroll,Bonuses,Fact Table,Bonus payments,Employees,1,Module A - Core HR,1,Normal complex
HR,B,Module B - Payroll,Deductions,Fact Table,Deduction records,Employees,1,Module A - Core HR,1,Normal complex
HR,B,Module B - Payroll,Payroll Status,Lookup Table,Payroll states (draft/approved),No,0,No module ,0,Not complex
HR,B,Module B - Payroll,Payroll,Fact Table,Payroll run summary,Payroll Status,1,No module ,0,Normal complex
HR,B,Module B - Payroll,Payslips,Fact Table,Individual pay statements,"Employees, Payroll, Bonuses, Deductions, Tax Rules, Earning Types",6,"Module A - Core HR, Module B - Payroll",2,Deep complex
HR,C,Module C - Time & Attendance,Leave Policies,Reference Table,Leave rules,No,0,No module ,0,Not complex
HR,C,Module C - Time & Attendance,Leave Balances,Fact Table,Accrued leave,No,0,No module ,0,Not complex
