Project ID,Sr No.,Item Name,Item Category ,Quantity,UOM,  Rate ($)  ,  Amount ($)  ,Weight (kg),Month,Year,Company Name,City,Country
AG-SEP24,1,CABLE TRAY,Electrical,19,No., $14.00 , $271.00 ,200,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,2,END CLAMP,Electrical,25,No., $0.16 , $4.00 ,250,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,3,MIDDLE CLAMP,Electrical,435,No., $0.20 , $85.00 ,4350,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,4,Activated Carbon,Furnace Material,1,Bag, $29.00 , $29.00 ,25,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,5,Bentonide Powder,Furnace Material,1,Ton, $75.00 , $75.00 ,2000,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,6,Boric Acid ,Furnace Material,3,Bag, $47.00 , $141.00 ,100,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,7,Carbon Rizer,Furnace Material,5,Bag, $43.00 , $214.00 ,125,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,8,Coil Cot Powder,Furnace Material,0.5,Ton, $114.00 , $57.00 ,1000,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,9,Complete Furnace 200/300 kg,Furnace Material,1,NO.," $16,071.00 "," $16,071.00 ",10,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,10,Crucible 100 kg,Furnace Material,1,No., $607.00 , $607.00 ,100,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,11,Ferro Manganese ,Furnace Material,200,kg, $2.00 , $375.00 ,200,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,12,Graphite Powder ,Furnace Material,5,Bag, $22.00 , $111.00 ,125,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,13,Linning Powder,Furnace Material,6,Ton, $89.00 , $536.00 ,6000,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,14,Silicon,Furnace Material,200,kg, $2.00 , $307.00 ,200,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,15,Drill Machine,Mechanical,1,No., $30.00 , $30.00 ,2,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,16,Gear Grarri,Mechanical,1,No., $125.00 , $125.00 ,20,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,17,Lathe machine 5 ft,Mechanical,1,No.," $1,301.00 "," $1,301.00 ",1000,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,18,Magnetic Drill Machine,Mechanical,1,No., $161.00 , $161.00 ,40,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,19,PAD DRILL MACHINE,Mechanical,1,No., $214.00 , $214.00 ,100,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,20,"SILVER PULLY, 4, 18, 20",Mechanical,3,No., $47.00 , $141.00 ,100,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,21,"SILVER PULLY, 8, 12, 12A, 14, 16",Mechanical,5,NO., $36.00 , $179.00 ,100,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,22,Vernier calipers,Mechanical,1,No., $8.00 , $8.00 ,1,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,23,Copper Pipe,Paktharm Matrial,5,KG, $14.00 , $71.00 ,50,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,24,Diode,Paktharm Matrial,1,NO., $89.00 , $89.00 ,10,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,25,Mica Sheet,Paktharm Matrial,1,NO., $18.00 , $18.00 ,25,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,26,Moter Pump,Paktharm Matrial,2,NO., $536.00 ," $1,071.00 ",100,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,27,Thyristor,Paktharm Matrial,2,NO., $71.00 , $143.00 ,20,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,28, Square Bar 6 mm,Raw Material,50,KG, $1.00 , $59.00 ,500,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,29,Ampaler 9 & 12 Inch,Raw Material,2,No., $12.00 , $23.00 ,25,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,30,BRASS Welding Rod,Raw Material,1,kg, $8.00 , $8.00 ,1,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,31,Copper Welding Rod,Raw Material,0.5,kg, $25.00 , $13.00 ,0.5,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,32,FABRICATED C CHENNEL,Raw Material,2,Ton," $1,161.00 "," $2,321.00 ",2000,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,33,L CLEAT,Raw Material,72.3,KG, $1.00 , $71.00 ,72.3,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,34,M12*35 NUT & BOLTS HOT DIP,Raw Material,950,No., $-   , $204.00 ,47.5,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,35,M8*25 SS 304,Raw Material,25,No., $-   , $3.00 ,250,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,36,M8*80 SS 304,Raw Material,435,No., $-   , $155.00 ,4350,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,37,METEL PLIER,Raw Material,13,No., $5.00 , $65.00 ,27,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,38,MOLAS,Raw Material,2,Drum, $64.00 , $129.00 ,580,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,39,Mould Box Sheet 10 Guage (4 Inch*8 ft),Raw Material,12,No., $7.00 , $86.00 ,300,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,40,MS Sheet 16 Guage (4 Ft*8 Ft),Raw Material,5,No., $39.00 , $196.00 ,125,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,41,OMEGA HOT DIP,Raw Material,435,No., $-   , $90.00 ,4350,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,42,Plastic Dori,Raw Material,1,No., $6.00 , $6.00 ,10,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,43,Plastic Shaper,Raw Material,1,No., $29.00 , $29.00 ,10,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,44,Pressure Cooker,Raw Material,1,No., $21.00 , $21.00 ,4,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,45,PVC Pipe Soldering Heater,Raw Material,1,No., $21.00 , $21.00 ,0.5,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,46,PVC Pipe with Fitting,Raw Material,6,No., $21.00 , $125.00 ,60,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,47,SILICATE DRUM,Raw Material,2,Drum, $63.00 , $125.00 ,600,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,48,SLEEVES,Raw Material,94.8,KG, $1.00 , $115.00 ,94.8,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
