HEATID,DATETIME,TEMP,VALO2_PPM
6F0020,2016-01-01 19:15:00,1650.0,1242.0
6F0021,2016-01-01 20:05:00,1649.0,1160.0
6F0021,2016-01-01 20:05:00,1649.0,1160.0
6F0021,2016-01-01 20:03:00,1606.0,1152.0
6F0022,2016-01-01 21:03:00,1636.0,947.0
6F0022,2016-01-01 21:02:00,1620.0,943.0
6F0023,2016-01-01 22:54:00,1665.0,1233.0
6F0023,2016-01-01 22:52:00,1598.0,846.0
6F0023,2016-01-01 22:53:00,1641.0,918.0
6F0024,2016-01-01 23:48:00,1633.0,1009.0
6F0024,2016-01-01 23:47:00,1613.0,865.0
6F0024,2016-01-01 23:45:00,1642.0,33.0
6F0024,2016-01-01 23:45:00,1663.0,1194.0
6F0025,2016-01-02 00:56:00,1576.0,795.0
6F0025,2016-01-02 00:59:00,1634.0,868.0
6F0025,2016-01-02 00:58:00,1619.0,884.0
6F0026,2016-01-02 01:49:00,1628.0,915.0
6F0026,2016-01-02 01:49:00,1654.0,1075.0
6F0027,2016-01-02 02:37:00,1613.0,816.0
6F0027,2016-01-02 02:38:00,1651.0,1095.0
6F0028,2016-01-02 03:25:00,1651.0,1048.0
6F0028,2016-01-02 03:25:00,1651.0,1048.0
6F0028,2016-01-02 03:28:00,1640.0,1096.0
6F0028,2016-01-02 03:26:00,1630.0,887.0
6F0028,2016-01-02 03:27:00,1625.0,874.0
6F0029,2016-01-02 04:13:00,1620.0,838.0
6F0029,2016-01-02 04:14:00,1645.0,900.0
6F0030,2016-01-02 05:01:00,1626.0,887.0
6F0030,2016-01-02 05:00:00,1608.0,815.0
6F0030,2016-01-02 05:02:00,1641.0,1008.0
6F0031,2016-01-02 05:51:00,1633.0,787.0
6F0031,2016-01-02 05:52:00,1640.0,794.0
6F0032,2016-01-02 06:39:00,1623.0,28.0
6F0032,2016-01-02 06:42:00,1650.0,1254.0
6F0032,2016-01-02 06:41:00,1629.0,1043.0
6F0033,2016-01-02 07:27:00,1594.0,750.0
6F0033,2016-01-02 07:30:00,1648.0,1168.0
6F0033,2016-01-02 07:29:00,1622.0,919.0
6F0033,2016-01-02 07:28:00,1619.0,863.0
6F0034,2016-01-02 08:23:00,1647.0,989.0
6F0034,2016-01-02 08:21:00,1612.0,820.0
6F0035,2016-01-02 09:13:00,1628.0,885.0
6F0035,2016-01-02 09:14:00,1648.0,1080.0
6F0036,2016-01-02 10:09:00,1647.0,1041.0
6F0036,2016-01-02 10:07:00,1630.0,930.0
6F0036,2016-01-02 10:08:00,1644.0,946.0
6F0036,2016-01-02 10:05:00,1585.0,778.0
6F0036,2016-01-02 10:04:00,1585.0,778.0
6F0036,2016-01-02 10:04:00,1563.0,686.0
6F0036,2016-01-02 10:02:00,1602.0,1077.0
6F0036,2016-01-02 10:06:00,1606.0,25.0
6F0037,2016-01-02 11:03:00,1639.0,1106.0
6F0037,2016-01-02 11:02:00,1628.0,965.0
6F0037,2016-01-02 11:00:00,1632.0,882.0
6F0037,2016-01-02 10:58:00,1646.0,918.0
6F0037,2016-01-02 10:57:00,1609.0,0.0
6F0037,2016-01-02 10:50:00,1647.0,1041.0
6F0038,2016-01-02 11:55:00,1672.0,1392.0
6F0040,2016-01-02 13:20:00,1646.0,1200.0
6F0040,2016-01-02 13:27:00,1595.0,0.0
6F0040,2016-01-02 13:31:00,1641.0,1115.0
6F0041,2016-01-02 14:24:00,1658.0,1199.0
6F0041,2016-01-02 14:20:00,1630.0,677.0
6F0041,2016-01-02 14:19:00,1641.0,883.0
6F0041,2016-01-02 14:25:00,1669.0,1277.0
6F0042,2016-01-02 15:18:00,1603.0,1693.0
6F0042,2016-01-02 15:14:00,1636.0,0.0
6F0042,2016-01-02 15:09:00,1669.0,1277.0
6F0043,2016-01-02 16:14:00,1609.0,731.0
6F0043,2016-01-02 16:15:00,1645.0,932.0
6F0043,2016-01-02 16:13:00,1621.0,756.0
6F0044,2016-01-02 17:03:00,1619.0,723.0
6F0045,2016-01-02 17:59:00,1670.0,1221.0
6F0045,2016-01-02 17:57:00,1582.0,792.0
6F0045,2016-01-02 17:55:00,1577.0,0.0
6F0046,2016-01-02 18:55:00,1628.0,895.0
6F0046,2016-01-02 18:54:00,1606.0,916.0
6F0046,2016-01-02 18:48:00,1561.0,583.0
6F0046,2016-01-02 18:49:00,1576.0,1163.0
6F0046,2016-01-02 18:51:00,1606.0,1315.0
6F0047,2016-01-02 19:47:00,1612.0,1424.0
6F0047,2016-01-02 19:45:00,1583.0,873.0
6F0047,2016-01-02 19:49:00,1623.0,783.0
6F0048,2016-01-02 19:56:00,1623.0,783.0
6F0048,2016-01-02 20:36:00,1605.0,775.0
6F0049,2016-01-02 21:25:00,1671.0,1284.0
6F0049,2016-01-02 21:23:00,1614.0,841.0
6F0050,2016-01-02 22:14:00,1626.0,976.0
6F0051,2016-01-02 23:05:00,1639.0,1002.0
6F0052,2016-01-02 23:54:00,1663.0,1137.0
6F0053,2016-01-03 00:39:00,1592.0,732.0
6F0053,2016-01-03 00:42:00,1643.0,1121.0
6F0053,2016-01-03 00:41:00,1616.0,925.0
6F0053,2016-01-03 00:38:00,1500.0,17.0
6F0053,2016-01-03 00:27:00,1500.0,17.0
6F0053,2016-01-03 00:27:00,1500.0,17.0
6F0053,2016-01-03 00:26:00,1650.0,51.0
6F0053,2016-01-03 00:18:00,1650.0,51.0
6F0053,2016-01-03 00:16:00,1663.0,1137.0
6F0054,2016-01-03 01:38:00,1643.0,1079.0
6F0054,2016-01-03 01:36:00,1603.0,1426.0
6F0055,2016-01-03 02:38:00,1658.0,1217.0
6F0055,2016-01-03 02:39:00,1664.0,1222.0
6F0055,2016-01-03 02:40:00,1670.0,1283.0
6F0055,2016-01-03 02:35:00,1605.0,797.0
6F0056,2016-01-03 03:38:00,1605.0,813.0
6F0056,2016-01-03 03:39:00,1626.0,891.0
6F0056,2016-01-03 03:37:00,1590.0,744.0
6F0057,2016-01-03 04:32:00,1650.0,997.0
6F0057,2016-01-03 04:30:00,1587.0,672.0
6F0057,2016-01-03 04:34:00,1686.0,1561.0
6F0058,2016-01-03 05:26:00,1619.0,871.0
6F0058,2016-01-03 05:25:00,1605.0,770.0
6F0058,2016-01-03 05:28:00,1675.0,1304.0
6F0059,2016-01-03 06:25:00,1656.0,1191.0
6F0059,2016-01-03 06:22:00,1590.0,61.0
6F0059,2016-01-03 06:26:00,1672.0,1319.0
6F0060,2016-01-03 07:15:00,1656.0,1321.0
6F0060,2016-01-03 07:11:00,1518.0,13.0
6F0060,2016-01-03 07:12:00,1591.0,0.0
6F0060,2016-01-03 07:13:00,1631.0,974.0
6F0060,2016-01-03 07:10:00,1533.0,18.0
6F0061,2016-01-03 07:42:00,1656.0,1321.0
6F0061,2016-01-03 08:01:00,1604.0,856.0
6F0061,2016-01-03 08:02:00,1652.0,1138.0
6F0061,2016-01-03 08:00:00,1604.0,1330.0
6F0063,2016-01-03 09:57:00,1609.0,25.0
6F0063,2016-01-03 09:58:00,1618.0,1053.0
6F0064,2016-01-03 10:54:00,1616.0,947.0
6F0064,2016-01-03 10:57:00,1656.0,1160.0
6F0064,2016-01-03 10:56:00,1682.0,801.0
6F0065,2016-01-03 11:58:00,1625.0,1090.0
6F0065,2016-01-03 11:57:00,1618.0,1097.0
6F0065,2016-01-03 11:50:00,1650.0,1335.0
6F0065,2016-01-03 11:47:00,1587.0,22.0
6F0065,2016-01-03 11:48:00,1622.0,1079.0
6F0065,2016-01-03 11:49:00,1622.0,1079.0
6F0066,2016-01-03 12:52:00,1584.0,23.0
6F0066,2016-01-03 12:56:00,1626.0,1269.0
6F0066,2016-01-03 12:54:00,1589.0,804.0
6F0066,2016-01-03 12:55:00,1623.0,1116.0
6F0067,2016-01-03 13:45:00,1605.0,996.0
6F0067,2016-01-03 13:42:00,1613.0,1088.0
